"ts","device","lpg"
"19.700000762939453","1.5945126453470898E9","false"
"22.4","1.5945126481185544E9","false"
"19.700000762939453","1.5945126491606364E9","false"
"27.0","1.5945126509945235E9","true"
"22.4","1.5945126518033702E9","false"
"19.700000762939453","1.5945126540510828E9","false"
"22.4","1.594512655489412E9","false"
"27.0","1.594512659075764E9","true"
"22.4","1.5945126591756582E9","false"
"19.600000381469727","1.5945126594791284E9","false"
"22.4","1.5945126628630002E9","false"
"19.700000762939453","1.5945126649200866E9","false"
"27.0","1.5945126660969007E9","true"
"22.4","1.5945126665484667E9","false"
"22.4","1.5945126702345774E9","false"
"27.0","1.5945126736466587E9","true"
"22.4","1.5945126739099188E9","false"
"19.600000381469727","1.5945126741612878E9","false"
"22.3","1.5945126775940351E9","false"
"27.0","1.5945126779885254E9","true"
"22.4","1.5945126812360778E9","false"
"19.600000381469727","1.5945126817364595E9","false"
"27.0","1.5945126817964954E9","true"
"22.3","1.5945126849265115E9","false"
"19.600000381469727","1.5945126855533442E9","false"
"27.0","1.5945126866679873E9","true"
"22.3","1.5945126888607478E9","false"
"19.600000381469727","1.594512691519144E9","false"
"27.0","1.5945126915414915E9","true"
"22.3","1.5945126925476577E9","false"
"19.600000381469727","1.594512695869991E9","false"
"27.0","1.5945126958855205E9","true"
"22.3","1.5945126962336426E9","false"
"22.3","1.5945126999164987E9","false"
"27.0","1.594512700240111E9","true"
"22.3","1.5945127036023388E9","false"
"19.600000381469727","1.5945127061261122E9","false"
"27.0","1.5945127067221627E9","true"
"22.3","1.5945127072868965E9","false"
"19.600000381469727","1.5945127099407187E9","false"
"22.3","1.5945127109708362E9","false"
"27.0","1.5945127126659107E9","true"
"22.3","1.5945127146565921E9","false"
"19.600000381469727","1.5945127153674855E9","false"
"27.0","1.5945127175428488E9","true"
"22.3","1.5945127183425255E9","false"
"22.3","1.5945127220286047E9","false"
"27.0","1.5945127224364674E9","true"
"19.600000381469727","1.5945127245679188E9","false"
"22.3","1.594512725714463E9","false"
"27.0","1.594512726775724E9","true"
"22.3","1.5945127294003582E9","false"
"19.600000381469727","1.5945127322246454E9","false"
"22.3","1.5945127330862215E9","false"
"27.0","1.5945127353939145E9","true"
"22.3","1.5945127367720256E9","false"
"19.600000381469727","1.5945127376478822E9","false"
"22.3","1.59451274045846E9","false"
"22.2","1.5945127441443274E9","false"
"19.600000381469727","1.594512744160413E9","false"
"27.0","1.5945127461484823E9","true"
"22.3","1.5945127478302197E9","false"
"19.600000381469727","1.5945127485153399E9","false"
"22.3","1.594512751516308E9","false"
"27.0","1.5945127515614705E9","true"
"22.2","1.594512755202195E9","false"
"27.0","1.594512756973432E9","true"
"19.600000381469727","1.5945127577016985E9","false"
"22.2","1.594512758888343E9","false"
"27.0","1.5945127618496435E9","true"
"22.2","1.5945127625475087E9","false"
